WallType,Uvalue,Direction,Hour,CLTDWall
BrickPlaster,1.222,N,1,11,,,,,,
BrickPlaster,1.222,N,2,10,,,,,,
BrickPlaster,1.222,N,3,9,,,,,,
BrickPlaster,1.222,N,4,9,,,,,,
BrickPlaster,1.222,N,5,8,,,,,,
BrickPlaster,1.222,N,6,8,,,,,,
BrickPlaster,1.222,N,7,7,,,,,,
BrickPlaster,1.222,N,8,7,,,,,,
BrickPlaster,1.222,N,9,7,,,,,,
BrickPlaster,1.222,N,10,8,,,,,,
BrickPlaster,1.222,N,11,8,,,,,,
BrickPlaster,1.222,N,12,9,,,,,,
BrickPlaster,1.222,N,13,10,,,,,,
BrickPlaster,1.222,N,14,11,,,,,,
BrickPlaster,1.222,N,15,12,,,,,,
BrickPlaster,1.222,N,16,12,,,,,,
BrickPlaster,1.222,N,17,13,,,,,,
BrickPlaster,1.222,N,18,14,,,,,,
BrickPlaster,1.222,N,19,14,,,,,,
BrickPlaster,1.222,N,20,14,,,,,,
BrickPlaster,1.222,N,21,14,,,,,,
BrickPlaster,1.222,N,22,13,,,,,,
BrickPlaster,1.222,N,23,12,,,,,,
BrickPlaster,1.222,N,24,12,,,,,,
BrickPlaster,1.222,NE,1,11,,,,,,
BrickPlaster,1.222,NE,2,11,,,,,,
BrickPlaster,1.222,NE,3,10,,,,,,
BrickPlaster,1.222,NE,4,9,,,,,,
BrickPlaster,1.222,NE,5,9,,,,,,
BrickPlaster,1.222,NE,6,8,,,,,,
BrickPlaster,1.222,NE,7,7,,,,,,
BrickPlaster,1.222,NE,8,8,,,,,,
BrickPlaster,1.222,NE,9,8,,,,,,
BrickPlaster,1.222,NE,10,10,,,,,,
BrickPlaster,1.222,NE,11,12,,,,,,
BrickPlaster,1.222,NE,12,13,,,,,,
BrickPlaster,1.222,NE,13,15,,,,,,
BrickPlaster,1.222,NE,14,16,,,,,,
BrickPlaster,1.222,NE,15,16,,,,,,
BrickPlaster,1.222,NE,16,17,,,,,,
BrickPlaster,1.222,NE,17,17,,,,,,
BrickPlaster,1.222,NE,18,17,,,,,,
BrickPlaster,1.222,NE,19,16,,,,,,
BrickPlaster,1.222,NE,20,16,,,,,,
BrickPlaster,1.222,NE,21,15,,,,,,
BrickPlaster,1.222,NE,22,14,,,,,,
BrickPlaster,1.222,NE,23,13,,,,,,
BrickPlaster,1.222,NE,24,12,,,,,,
BrickPlaster,1.222,E,1,12,,,,,,
BrickPlaster,1.222,E,2,11,,,,,,
