Lat,Month,Direction,SHGF
14,Mar,W,751
14,Apr,W,716
14,May,W,674
14,Jun,W,649
14,Jul,W,658
14,Aug,W,690
14,Sep,W,719
14,Oct,W,710
14,Nov,W,663
14,Dec,W,639
14,Jan,SE,786
14,Feb,SE,724
14,Mar,SE,611
14,Apr,SE,461
14,May,SE,349
14,Jun,SE,298
14,Jul,SE,336
14,Aug,SE,439
14,Sep,SE,589
14,Oct,SE,701
14,Nov,SE,773
14,Dec,SE,797
14,Jan,SW,786
14,Feb,SW,724
14,Mar,SW,611
14,Apr,SW,461
14,May,SW,349
14,Jun,SW,298
14,Jul,SW,336
14,Aug,SW,439
14,Sep,SW,589
14,Oct,SW,701
14,Nov,SW,773
14,Dec,SW,797
14,Jan,S,601
14,Feb,S,453
14,Mar,S,262
14,Apr,S,134
14,May,S,128
14,Jun,S,128
14,Jul,S,131
14,Aug,S,297
14,Sep,S,262
14,Oct,S,442
14,Nov,S,592
14,Dec,S,646
14,Jan,HOR,805
14,Feb,HOR,885
14,Mar,HOR,928
14,Apr,HOR,914
14,May,HOR,887
14,Jun,HOR,869
14,Jul,HOR,871
14,Aug,HOR,890
14,Sep,HOR,898
14,Oct,HOR,868
14,Nov,HOR,798
14,Dec,HOR,764
16,Jan,N,95
16,Feb,N,104
16,Mar,N,110
16,Apr,N,123
16,May,N,164
16,Jun,N,208
16,Jul,N,174
16,Aug,N,129
16,Sep,N,114
16,Oct,N,104
16,Nov,N,95
16,Dec,N,91
16,Jan,NE,174
16,Feb,NE,303
16,Mar,NE,441
16,Apr,NE,543
16,May,NE,596
16,Jun,NE,612
16,Jul,NE,590
16,Aug,NE,530
16,Sep,NE,423
16,Oct,NE,300
16,Nov,NE,174
16,Dec,NE,129
16,Jan,NW,174
16,Feb,NW,303
16,Mar,NW,441
16,Apr,NW,543
16,May,NW,596
16,Jun,NW,612
16,Jul,NW,590
16,Aug,NW,530
16,Sep,NW,423
16,Oct,NW,300
16,Nov,NW,174
16,Dec,NW,129
16,Jan,E,663
16,Feb,E,729
16,Mar,E,745
16,Apr,E,716
16,May,E,678
16,Jun,E,653
16,Jul,E,663
16,Aug,E,691
16,Sep,E,716
16,Oct,E,704
16,Nov,E,650
16,Dec,E,625
16,Jan,W,663
16,Feb,W,729
16,Mar,W,745
16,Apr,W,716
16,May,W,678
16,Jun,W,653
16,Jul,W,663
16,Aug,W,691
16,Sep,W,716
16,Oct,W,704
16,Nov,W,650
16,Dec,W,625
16,Jan,SE,792
16,Feb,SE,735
16,Mar,SE,622
16,Apr,SE,473
16,May,SE,363
16,Jun,SE,312
16,Jul,SE,350
16,Aug,SE,451
16,Sep,SE,603
16,Oct,SE,710
16,Nov,SE,779
16,Dec,SE,801
16,Jan,SW,792
16,Feb,SW,735
16,Mar,SW,622
16,Apr,SW,473
16,May,SW,363
16,Jun,SW,312
16,Jul,SW,350
16,Aug,SW,451
16,Sep,SW,603
16,Oct,SW,710
16,Nov,SW,779
16,Dec,SW,801
16,Jan,S,628
16,Feb,S,486
16,Mar,S,293
16,Apr,S,142
16,May,S,129
16,Jun,S,129
16,Jul,S,133
16,Aug,S,145
16,Sep,S,293
16,Oct,S,473
16,Nov,S,618
16,Dec,S,669
16,Jan,HOR,782
16,Feb,HOR,868
16,Mar,HOR,918
16,Apr,HOR,912
16,May,HOR,890
16,Jun,HOR,874
16,Jul,HOR,874
16,Aug,HOR,890
16,Sep,HOR,890
16,Oct,HOR,852
16,Nov,HOR,776
16,Dec,HOR,738
19,Jan,N,92
19,Feb,N,100
19,Mar,N,108
19,Apr,N,121
19,May,N,152
19,Jun,N,192
19,Jul,N,157
19,Aug,N,127
19,Sep,N,114
19,Oct,N,102
19,Nov,N,92
19,Dec,N,87
19,Jan,NE,157
19,Feb,NE,284
19,Mar,NE,422
19,Apr,NE,529
19,May,NE,585
19,Jun,NE,600
19,Jul,NE,578
19,Aug,NE,516
19,Sep,NE,407
19,Oct,NE,281
19,Nov,NE,157
19,Dec,NE,115
19,Jan,NW,157
19,Feb,NW,284
19,Mar,NW,422
19,Apr,NW,529
19,May,NW,585
19,Jun,NW,600
19,Jul,NW,578
19,Aug,NW,516
19,Sep,NW,407
19,Oct,NW,281
19,Nov,NW,157
19,Dec,NW,115
19,Jan,E,641
19,Feb,E,717
19,Mar,E,747
19,Apr,E,718
19,May,E,683
19,Jun,E,661
19,Jul,E,668
19,Aug,E,693
19,Sep,E,712
19,Oct,E,690
19,Nov,E,629
19,Dec,E,599
19,Jan,W,641
19,Feb,W,717
19,Mar,W,747
19,Apr,W,718
19,May,W,683
19,Jun,W,661
19,Jul,W,668
19,Aug,W,693
19,Sep,W,712
19,Oct,W,690
19,Nov,W,629
19,Dec,W,599
19,Jan,SE,797
19,Feb,SE,747
19,Mar,SE,643
19,Apr,SE,492
19,May,SE,384
19,Jun,SE,334
19,Jul,SE,369
19,Aug,SE,473
19,Sep,SE,622
19,Oct,SE,724
19,Nov,SE,784
19,Dec,SE,801
19,Jan,SW,797
19,Feb,SW,747
19,Mar,SW,643
19,Apr,SW,492
19,May,SW,384
19,Jun,SW,334
19,Jul,SW,369
19,Aug,SW,473
19,Sep,SW,622
19,Oct,SW,724
19,Nov,SW,784
19,Dec,SW,801
19,Jan,S,663
19,Feb,S,533
19,Mar,S,346
19,Apr,S,173
19,May,S,132
19,Jun,S,132
19,Jul,S,135
19,Aug,S,171
19,Sep,S,343
19,Oct,S,520
19,Nov,S,654
19,Dec,S,702
19,Jan,HOR,745
19,Feb,HOR,840
19,Mar,HOR,897
19,Apr,HOR,907
19,May,HOR,892
19,Jun,HOR,879
19,Jul,HOR,876
19,Aug,HOR,885
19,Sep,HOR,874
19,Oct,HOR,824
19,Nov,HOR,739
19,Dec,HOR,698
20,Jan,N,91
20,Feb,N,98
20,Mar,N,107
20,Apr,N,120
20,May,N,148
20,Jun,N,186
20,Jul,N,151
20,Aug,N,126
20,Sep,N,114
20,Oct,N,101
20,Nov,N,91
20,Dec,N,85
20,Jan,NE,151
20,Feb,NE,278
20,Mar,NE,416
20,Apr,NE,524
20,May,NE,581
20,Jun,NE,596
20,Jul,NE,574
20,Aug,NE,511
20,Sep,NE,401
20,Oct,NE,274
20,Nov,NE,151
20,Dec,NE,110
20,Jan,NW,151
20,Feb,NW,278
20,Mar,NW,416
20,Apr,NW,524
20,May,NW,581
20,Jun,NW,596
20,Jul,NW,574
20,Aug,NW,511
20,Sep,NW,401
20,Oct,NW,274
20,Nov,NW,151
20,Dec,NW,110
20,Jan,E,634
20,Feb,E,713
20,Mar,E,748
20,Apr,E,719
20,May,E,685
20,Jun,E,663
20,Jul,E,669
20,Aug,E,694
20,Sep,E,710
20,Oct,E,685
20,Nov,E,622
20,Dec,E,590
20,Jan,W,634
20,Feb,W,713
20,Mar,W,748
20,Apr,W,719
20,May,W,685
20,Jun,W,663
20,Jul,W,669
20,Aug,W,694
20,Sep,W,710
20,Oct,W,685
20,Nov,W,622
20,Dec,W,590
20,Jan,SE,798
20,Feb,SE,751
20,Mar,SE,650
20,Apr,SE,498
20,May,SE,391
20,Jun,SE,341
20,Jul,SE,375
20,Aug,SE,480
20,Sep,SE,628
20,Oct,SE,729
20,Nov,SE,786
20,Dec,SE,801
20,Jan,SW,798
20,Feb,SW,751
20,Mar,SW,650
20,Apr,SW,498
20,May,SW,391
20,Jun,SW,341
20,Jul,SW,375
20,Aug,SW,480
20,Sep,SW,628
20,Oct,SW,729
20,Nov,SW,786
20,Dec,SW,801
20,Jan,S,675
20,Feb,S,549
20,Mar,S,363
20,Apr,S,183
20,May,S,133
20,Jun,S,133
20,Jul,S,136
20,Aug,S,180
20,Sep,S,360
20,Oct,S,536
20,Nov,S,666
20,Dec,S,713
20,Jan,HOR,732
20,Feb,HOR,830
20,Mar,HOR,890
20,Apr,HOR,905
20,May,HOR,893
20,Jun,HOR,880
20,Jul,HOR,877
20,Aug,HOR,883
20,Sep,HOR,868
20,Oct,HOR,814
20,Nov,HOR,726
20,Dec,HOR,685
