RoofType,Ceiling,Uvalue,Hour,CLTDRoof
ConcreteTile,HaveCeilinglessthan,0.536,12,32
ConcreteTile,HaveCeilinglessthan,0.536,13,36
ConcreteTile,HaveCeilinglessthan,0.536,14,39
ConcreteTile,HaveCeilinglessthan,0.536,15,41
ConcreteTile,HaveCeilinglessthan,0.536,16,42
ConcreteTile,HaveCeilinglessthan,0.536,17,40
ConcreteTile,HaveCeilinglessthan,0.536,18,36
ConcreteTile,HaveCeilinglessthan,0.536,19,32
ConcreteTile,HaveCeilinglessthan,0.536,20,29
ConcreteTile,HaveCeilinglessthan,0.536,21,25
ConcreteTile,HaveCeilinglessthan,0.536,22,22
ConcreteTile,HaveCeilinglessthan,0.536,23,19
ConcreteTile,HaveCeilinglessthan,0.536,24,17
ConcreteTile,NoCeiling,4.292,1,8
ConcreteTile,NoCeiling,4.292,2,7
ConcreteTile,NoCeiling,4.292,3,6
ConcreteTile,NoCeiling,4.292,4,5
ConcreteTile,NoCeiling,4.292,5,4
ConcreteTile,NoCeiling,4.292,6,4
ConcreteTile,NoCeiling,4.292,7,5
ConcreteTile,NoCeiling,4.292,8,9
ConcreteTile,NoCeiling,4.292,9,15
ConcreteTile,NoCeiling,4.292,10,21
ConcreteTile,NoCeiling,4.292,11,27
ConcreteTile,NoCeiling,4.292,12,32
ConcreteTile,NoCeiling,4.292,13,36
ConcreteTile,NoCeiling,4.292,14,37
ConcreteTile,NoCeiling,4.292,15,38
ConcreteTile,NoCeiling,4.292,16,36
ConcreteTile,NoCeiling,4.292,17,32
ConcreteTile,NoCeiling,4.292,18,27
ConcreteTile,NoCeiling,4.292,19,23
ConcreteTile,NoCeiling,4.292,20,19
ConcreteTile,NoCeiling,4.292,21,16
ConcreteTile,NoCeiling,4.292,22,13
ConcreteTile,NoCeiling,4.292,23,11
ConcreteTile,NoCeiling,4.292,24,9
MetalSheet,HaveCeilinggreaterthan,0.5,1,12.5
MetalSheet,HaveCeilinggreaterthan,0.5,2,12.5
MetalSheet,HaveCeilinggreaterthan,0.5,3,12.95
MetalSheet,HaveCeilinggreaterthan,0.5,4,13.85
MetalSheet,HaveCeilinggreaterthan,0.5,5,16.1
MetalSheet,HaveCeilinggreaterthan,0.5,6,18.8
MetalSheet,HaveCeilinggreaterthan,0.5,7,20.5
MetalSheet,HaveCeilinggreaterthan,0.5,8,22.2
MetalSheet,HaveCeilinggreaterthan,0.5,9,22
MetalSheet,HaveCeilinggreaterthan,0.5,10,21.9
MetalSheet,HaveCeilinggreaterthan,0.5,11,21.35
MetalSheet,HaveCeilinggreaterthan,0.5,12,19.9
MetalSheet,HaveCeilinggreaterthan,0.5,13,18
MetalSheet,HaveCeilinggreaterthan,0.5,14,17.1
MetalSheet,HaveCeilinggreaterthan,0.5,15,17.1
MetalSheet,HaveCeilinggreaterthan,0.5,16,16.2
MetalSheet,HaveCeilinggreaterthan,0.5,17,15.4
MetalSheet,HaveCeilinggreaterthan,0.5,18,14.6
MetalSheet,HaveCeilinggreaterthan,0.5,19,12.9
MetalSheet,HaveCeilinggreaterthan,0.5,20,12.1
MetalSheet,HaveCeilinggreaterthan,0.5,21,11.3
MetalSheet,HaveCeilinggreaterthan,0.5,22,11.4
MetalSheet,HaveCeilinggreaterthan,0.5,23,11.95
MetalSheet,HaveCeilinggreaterthan,0.5,24,12.5
MetalSheet,HaveCeilinglessthan,0.5,1,12.5
MetalSheet,HaveCeilinglessthan,0.5,2,12.5
MetalSheet,HaveCeilinglessthan,0.5,3,12.95
MetalSheet,HaveCeilinglessthan,0.5,4,13.85
MetalSheet,HaveCeilinglessthan,0.5,5,16.1
MetalSheet,HaveCeilinglessthan,0.5,6,18.8
MetalSheet,HaveCeilinglessthan,0.5,7,20.5
MetalSheet,HaveCeilinglessthan,0.5,8,22.2
MetalSheet,HaveCeilinglessthan,0.5,9,22
MetalSheet,HaveCeilinglessthan,0.5,10,21.9
MetalSheet,HaveCeilinglessthan,0.5,11,21.35
MetalSheet,HaveCeilinglessthan,0.5,12,19.9
MetalSheet,HaveCeilinglessthan,0.5,13,18
MetalSheet,HaveCeilinglessthan,0.5,14,17.1
MetalSheet,HaveCeilinglessthan,0.5,15,17.1
MetalSheet,HaveCeilinglessthan,0.5,16,16.2
MetalSheet,HaveCeilinglessthan,0.5,17,15.4
MetalSheet,HaveCeilinglessthan,0.5,18,14.6
MetalSheet,HaveCeilinglessthan,0.5,19,12.9
MetalSheet,HaveCeilinglessthan,0.5,20,12.1
MetalSheet,HaveCeilinglessthan,0.5,21,11.3
MetalSheet,HaveCeilinglessthan,0.5,22,11.4
MetalSheet,HaveCeilinglessthan,0.5,23,11.95
MetalSheet,HaveCeilinglessthan,0.5,24,12.5
MetalSheet,NoCeiling,6,1,18
MetalSheet,NoCeiling,6,2,18
MetalSheet,NoCeiling,6,3,19
MetalSheet,NoCeiling,6,4,21
MetalSheet,NoCeiling,6,5,26
MetalSheet,NoCeiling,6,6,32
MetalSheet,NoCeiling,6,7,37
MetalSheet,NoCeiling,6,8,42
MetalSheet,NoCeiling,6,9,44
MetalSheet,NoCeiling,6,10,45
MetalSheet,NoCeiling,6,11,45
MetalSheet,NoCeiling,6,12,43
MetalSheet,NoCeiling,6,13,40
MetalSheet,NoCeiling,6,14,38
MetalSheet,NoCeiling,6,15,38
MetalSheet,NoCeiling,6,16,36
MetalSheet,NoCeiling,6,17,33
MetalSheet,NoCeiling,6,18,30
MetalSheet,NoCeiling,6,19,25
MetalSheet,NoCeiling,6,20,22
MetalSheet,NoCeiling,6,21,19
MetalSheet,NoCeiling,6,22,18
MetalSheet,NoCeiling,6,23,18
MetalSheet,NoCeiling,6,24,18
